X,Y,OBJECTID,AUN,SCHOOL_NUM,LOCATION_ID,SCHOOL_NAME,SCHOOL_NAME_LABEL,STREET_ADDRESS,ZIP_CODE,PHONE_NUMBER,ACTIVE,GRADE_LEVEL,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECIFIC
-75.1496123142232,39.9460512201418,1132,226518902,,,ST MARYS INTERPAROCHIAL SCHOOL,ST MARYS INTERPAROCHIAL SCHOOL,440 LOCUST ST,19106,(215) 923-7522,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
-74.9850490673165,40.0875779879744,1133,226518722,,,ST MARTHA SCHOOL,ST MARTHA SCHOOL,11321 ACADEMY RD,19154,(215) 632-0320,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.0389922012731,40.0819229624843,1134,226514052,,,MATERNITY BVM SCHOOL,MATERNITY BVM SCHOOL,9322 OLD BUSTLETON AVE,19115,(215) 673-0235,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-74.9789070812707,40.0793780543823,1135,226514852,,,OUR LADY OF CALVARY SCHOOL,OUR LADY OF CALVARY SCHOOL,11023 KIPLING LN,19154,(215) 637-1648,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-74.995300520648,40.0752823140992,1136,226511102,,,CHRIST THE KING SCHOOL,CHRIST THE KING SCHOOL,3205 CHESTERFIELD RD,19114,(215) 632-1375,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1589193833665,39.9422174313083,1281,300511820,,,BEGINNINGS LEARNING CENTER,BEGINNINGS LEARNING CENTER,620 S 10TH ST,19147,(215) 627-3668,O,PRE-K/KINDERGARTEN,PREK-K,,3,PRIVATE
-75.2082188021773,39.9488189675549,1282,226511232,,,JUBILEE SCHOOL,JUBILEE SCHOOL,4211 CHESTER AVE,19104,(215) 387-7592,O,ELEMENTARY SCHOOL,PREK-6,,3,PRIVATE
-75.2147082797715,39.9595409366735,1283,226514112,,,MILL CREEK SCHOOL,MILL CREEK SCHOOL,4601 MARKET ST,19139,(215) 471-4900,O,MIDDLE/HIGH,7-12,,3,PRIVATE
-75.1008593041771,40.0120281127198,1284,226512252,,,HOLY INNOCENTS SCHOOL,HOLY INNOCENTS CATHOLIC SCHOOL,1312 E BRISTOL ST,19124,(215) 743-5909,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1563401508609,40.006952641237,1285,226510064,,,SPRING GARDEN ACADEMY - TIOGA,SPRING GARDEN ACAD - TIOGA,3501-05 N 17TH ST,19140,(215) 226-1000,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.1824844048213,40.0042584778552,1286,226510073,,,ST JAMES SCHOOL,ST JAMES SCHOOL,3201-29 W CLEARFIELD ST,19132,(215) 226-1276,O,MIDDLE SCHOOL,4-8,,3,PRIVATE
-75.1450546195989,40.0286502671423,1287,226510004,,,LOGAN HOPE SCHOOL,LOGAN HOPE SCHOOL,4934 N 13TH ST,19141,(215) 455-7442,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
-75.210184742915,40.0792677889648,1288,226515302,,,OUR MOTHER OF CONSOLATION,OUR MOTHER OF CONSOLATION SCHOOL,7-29 E CHESTNUT HILL AVE,19118,(215) 247-1060,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1887167719836,40.0617500903787,1289,226512152,,,HOLY CROSS SCHOOL,HOLY CROSS SCHOOL,148-54 E MOUNT AIRY AVE,19119,(215) 242-0414,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.1481843568952,40.0036406776715,1290,126515001,5183,7510,"BETHUNE, MARY MCLEOD SCHOOL",MARY M. BETHUNE SCHOOL,3301 OLD YORK RD,19140,(215) 400-3890,,ELEMENTARY/MIDDLE,K-8,398,1,DISTRICT
-75.1831230017859,39.9853002642558,1291,126515001,3662,4220,"BLAINE, JAMES G. SCHOOL",JAMES G. BLAINE SCHOOL,3001 W BERKS ST,19121,(215) 400-7330,,ELEMENTARY/MIDDLE,K-8,314,1,DISTRICT
-75.2151434499055,39.9726290989846,1292,126515001,3663,1490,"BLANKENBURG, RUDOLPH SCHOOL",RUDOLPH BLANKENBURG SCHOOL,4600 W GIRARD AVE,19131,(215) 400-7280,,ELEMENTARY/MIDDLE,K-8,257,1,DISTRICT
-75.1431779114975,39.9680504922372,1293,126515001,7070,5150,"BODINE, WILLIAM W. HIGH SCHOOL",WILLIAM W. BODINE HIGH SCHOOL,1101 N 4TH ST,19123,(215) 400-7630,,HIGH SCHOOL,9-12,491,1,DISTRICT
-75.1767050838534,39.9145523452285,1294,126515001,3620,2240,"BREGY, F. AMEDEE SCHOOL",F. AMEDEE BREGY SCHOOL,1700 BIGLER ST,19145,(215) 400-8210,,ELEMENTARY/MIDDLE,K-8,232,1,DISTRICT
-75.2425202924685,39.9200639465822,1295,226511922,,,GREATER HOPE CHRISTIAN ACADEMY,GREATER HOPE CHRISTIAN ACADEMY,7029 WOODLAND AVE,19142,(215) 729-0374,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
-75.1630048885049,40.0271175120535,1296,226517602,,,DEPAUL CATHOLIC SCHOOL,DEPAUL CATHOLIC SCHOOL,44 W LOGAN ST,19144,(215) 842-1266,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.1866783868339,40.043993185085,1297,226510682,,,BLAIR CHRISTIAN ACADEMY & PRESCHOOL,BLAIR CHRISTIAN ACADEMY & PRESCHOOL,212-20 W UPSAL ST,19119,(215) 438-6557,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.0173105580832,40.1297386494539,1298,226510732,,,CALVARY CHRISTIAN ACADEMY,CALVARY CHRISTIAN ACADEMY,13500 PHILMONT AVE,19116,(215) 969-1579,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
-75.1046539368496,40.0366030238388,1299,226512732,,,INTERNATIONAL CHRISTIAN HIGH SCHOOL,INTERNATIONAL CHRISTIAN HIGH SCHOOL,5500 TABOR AVE,19120,(267) 900-2000,O,HIGH SCHOOL,9-12,,3,PRIVATE
-75.0391864606707,40.0804452967683,1300,300514330,,,POLITZ HEBREW ACADEMY,POLITZ HEBREW ACADEMY,9229 OLD BUSTLETON AVE,19115,(215) 969-5960,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
-75.1390283474899,39.9733439022482,1301,226510023,,,LASALLE ACADEMY,LASALLE ACADEMY,1432-36 N 2ND ST,19122,(215) 739-5804,O,ELEMENTARY/MIDDLE,3-8,,3,PRIVATE
-75.2149681180715,39.9711037408358,1302,226515392,,,QUBA INSTITUTE OF ARABIC & ISLAMIC STUDIES,QUBA INSTITUTE OF ARABIC & ISLAMIC STUDIES,4637 LANCASTER AVE,19131,(215) 473-8589,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
-75.0450512091039,40.0998261861186,1303,226515872,,,SHAARE SHAMAYIM-BETH JUDAH KINDERGARTEN,SHAARE SHAMAYIM-BETH JUDAH KINDERGARTEN,9768 VERREE RD,19115,(215) 673-2323,O,PRE-K/KINDERGARTEN,PREK-K,,3,PRIVATE
-75.2472179652434,39.9855312303181,1304,226510020,,,NEW LIFE ALTERNATIVES CHRISTIAN ACADEMY,NEW LIFE ALTERNATIVES CHRISTIAN ACADEMY,1993-95 N 63RD ST,19151,(215) 877-3440,O,ELEMENTARY SCHOOL,PREK-7,,3,PRIVATE
-75.1373045584615,40.0186546469217,1305,226512672,,,HUNTING PARK CHRISTIAN ACADEMY,HUNTING PARK CHRISTIAN ACADEMY,4400 N 6TH ST,19140,(267) 331-8002,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.2149975211038,40.0766857349399,1306,226514122,,,CREFELD SCHOOL,CREFELD SCHOOL,8836 CREFELD ST,19118,(215) 242-5545,O,MIDDLE/HIGH,7-12,,3,PRIVATE
-75.1523359999574,39.9502520000276,1307,126515001,7905,2670,CONSTITUTION HIGH SCHOOL,CONSTITUTION HIGH SCHOOL,18 S 7TH ST,19106,(215) 400-7850,,HIGH SCHOOL,9-12,421,1,DISTRICT
-75.1148200223767,39.9944190479345,1308,126515001,6525,5230,"CONWELL, RUSSELL MIDDLE SCHOOL",RUSSELL H. CONWELL SCHOOL,1849 E CLEARFIELD ST,19134,(215) 400-7210,,MIDDLE SCHOOL,5-8,119,1,DISTRICT
-75.1460740001465,40.0255260001875,1309,126515001,7239,7100,"COOKE, JAY ELEMENTARY SCHOOL",JAY COOKE SCHOOL,1300 W LOUDON ST,19141,(215) 400-8330,,ELEMENTARY/MIDDLE,K-8,370,1,DISTRICT
-75.2068019997144,40.0224720000888,1310,126515001,5122,6410,COOK-WISSAHICKON SCHOOL,COOK-WISSAHICKON SCHOOL,201 E SALAIGNAC ST,19128,(215) 400-3430,,ELEMENTARY/MIDDLE,K-8,414,1,DISTRICT
-75.1299362503674,40.0026291206135,1311,126515001,5123,5470,"CRAMP, WILLIAM SCHOOL",WILLIAM CRAMP SCHOOL,3449 N MASCHER ST,19140,(215) 400-3860,,ELEMENTARY SCHOOL,K-5,341,1,DISTRICT
-75.1663226360723,39.9578909273953,1312,,,,PHILADELPHIA PERFORMING ARTS CHARTER SCHOOL,PHILADELPHIA PERFORMING ARTS CHARTER SCHOOL,1600 VINE ST,19102,(267) 428-2224,,MIDDLE/HIGH,6-12,,2,CHARTER
-75.2116955957269,39.9572541565741,1313,226519902,,,WEST CATHOLIC PREPARATORY HIGH SCHOOL,WEST CATHOLIC HIGH SCHOOL,4501-17 CHESTNUT ST,19139,(215) 386-2244,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
-75.1746922698452,39.930402025072,1314,226519382,,,ST THOMAS AQUINAS SCHOOL,ST THOMAS AQUINAS SCHOOL,1616 S 18TH ST,19145,(215) 334-0878,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.1671178291817,40.0719914409471,1315,226519222,,,ST RAYMOND OF PENAFORT SCHOOL,ST RAYMOND SCHOOL,7940 WILLIAMS AVE,19150,(215) 548-1919,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.0604271292593,40.0307935155365,1316,226519422,,,BLESSED TRINITY REGIONAL CATHOLIC SCHOOL,BLESSED TRINITY REGIONAL CATHOLIC SCHOOL,3033 LEVICK ST,19149,(215) 338-9797,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1448766839455,39.9695944753092,1317,226519142,,,ST PETER THE APOSTLE SCHOOL,ST PETER THE APOSTLE SCHOOL,1009 N 5TH ST,19123,(215) 922-5958,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.0499678868547,40.0414413494622,1318,226518932,,,ST MATTHEW SCHOOL,ST MATTHEW SCHOOL,3040 COTTMAN AVE,19149,(215) 333-3142,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1296562928086,39.9767768585942,1319,226518422,,,ST LAURENTIUS SCHOOL,ST LAURENTIUS SCHOOL,1612 E BERKS ST,19125,(215) 423-8834,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.2491359095265,39.9695120054944,1320,226517352,,,ST FRANCES CABRINI REGIONAL CATHOLIC SCHOOL,ST FRANCES CABRINI,405 N 65TH ST,19151,(215) 748-2994,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
