DC_DIST,SECTOR,DISPATCH_DATE,DISPATCH_TIME,LOCATION_BLOCK,UCR_GENERAL,OBJ_ID,TEXT_GENERAL_CODE,POINT_X,POINT_Y
22,1,2014-09-14,16:00:00,1800 BLOCK W MONTGOMERY,100,1,Homicide - Criminal,-75.15680322,39.98804051
1,B,2006-01-14,00:00:00,2000 BLOCK MIFFLIN ST,100,1,Homicide - Criminal,-75.17873401,39.92800861
1,B,2006-04-01,16:05:00,S 22ND ST /SNYDER AVE,100,1,Homicide - Criminal,-75.18274594,39.92606773
1,B,2006-05-10,11:13:00,2100 BLOCK MC KEAN ST,100,1,Homicide - Criminal,-75.1809209,39.92704341
1,E,2006-07-01,12:42:00,2100 BLOCK S HICKS ST,100,1,Homicide - Criminal,-75.17203753,39.92462646
1,F,2006-07-09,19:13:00,1800 BLOCK SNYDER AVE,100,1,Homicide - Criminal ,-75.17611688,39.9251688
1,B,2006-07-10,23:20:00,1800 BLOCK S 20TH ST,100,1,Homicide - Criminal,-75.17850381,39.92927469
1,J,2006-07-16,01:26:00,2200 BLOCK JACKSON ST,100,1,Homicide - Criminal,-75.18418511,39.92493124
1,J,2006-10-03,20:37:00,2200 BLOCK S HEMBERGER ST,100,1,Homicide - Criminal,-75.18430043,39.92423663
1,A,2006-10-16,19:46:00,1900 BLOCK MC CLELLAN ST,100,1,Homicide - Criminal,-75.17701877,39.92860587
1,A,2006-12-08,00:01:00,1500 BLOCK MC KEAN ST,100,1,Homicide - Criminal,-75.172603,39.92597474
2,D,2006-02-20,17:02:00,1800 BLOCK GLENDALE AV,100,1,Homicide - Criminal,-75.06642051,40.05629825
2,L,2006-04-14,21:32:00,1000 BLOCK LEVICK ST,100,1,Homicide - Criminal,-75.08414766,40.0431934
2,N,2006-05-03,22:51:00,ADAMS AV /ROOSEVELT BLVD,100,1,Homicide - Gross Negligence,-75.10322985,40.03005777
2,K,2006-05-06,19:24:00,1300 BLOCK PASSMORE ST,100,1,Homicide - Criminal,-75.07865483,40.04133107
2,R,2006-06-17,20:35:00,600 BLOCK ADAMS AV,100,1,Homicide - Gross Negligence,-75.10857358,40.03541401
2,H,2006-06-19,15:55:00,6700 BLOCK KINDRED ST,100,1,Homicide - Criminal,-75.07024288,40.04264614
2,H,2006-06-19,18:39:00,6700 BLOCK KINDRED ST,100,1,Homicide - Criminal,-75.07024288,40.04264614
2,C,2006-07-08,02:59:00,CASTOR AV /SHELMIRE AV,100,1,Homicide - Gross Negligence,-75.06316652,40.05432007
2,H,2006-07-10,23:54:00,7000 BLOCK RUTLAND ST,100,1,Homicide - Criminal,-75.06941972,40.04664838
2,O,2006-07-30,03:04:00,300 BLOCK STEVENS ST,100,1,Homicide - Criminal,-75.10032393,40.04769854
2,L,2006-08-16,19:26:00,1200 BLOCK PASSMORE ST,100,1,Homicide - Criminal ,-75.08037564,40.042287
2,B,2006-09-01,13:09:00,7700 BLOCK BUSTLETON AV,100,1,Homicide - Gross Negligence,-75.05465338,40.05379605
2,H,2006-09-01,13:07:00,7000 BLOCK CASTOR AV,100,1,Homicide - Gross Negligence,-75.07033001,40.04687544
2,G,2006-09-30,18:26:00,BUSTLETON AV /HELLERMAN ST,100,1,Homicide - Gross Negligence,-75.0692647,40.0368184
2,E,2006-10-07,19:39:00,7900 BLOCK ALGON AV,100,1,Homicide - Gross Negligence,-75.06480978,40.06435437
2,M,2006-12-02,21:02:00,800 BLOCK FANSHAWE ST,100,1,Homicide - Criminal,-75.0855726,40.04881755
2,L,2006-12-14,01:55:00,1100 BLOCK LEVICK ST,100,1,Homicide - Gross Negligence,-75.08265673,40.04236623
2,P,2006-12-17,01:37:00,700 BLOCK ADAMS AVE,100,1,Homicide - Criminal ,-75.10663047,40.03293336
3,C,2006-03-15,21:03:00,200 BLOCK MONROE ST,100,1,Homicide - Justifiable ,-75.14612289,39.93927893
3,P,2006-04-26,21:55:00,600 BLOCK WASHINGTON AVE,100,1,Homicide - Criminal,-75.15432068,39.93521625
3,D,2006-08-11,00:47:00,400 BLOCK CHRISTIAN ST,100,1,Homicide - Criminal,-75.15088192,39.93706051
3,D,2006-09-02,00:10:00,300 BLOCK CHRISTIAN ST,100,1,Homicide - Criminal,-75.1499191,39.93679529
3,L,2006-09-11,13:17:00,S BROAD ST /CARPENTER ST,100,1,Homicide - Gross Negligence,-75.16657227,39.93907205
3,E,2006-10-08,16:26:00,500 BLOCK LOMBARD ST,100,1,Homicide - Gross Negligence,-75.15056299,39.94279237
3,K,2006-10-31,14:57:00,S 13TH ST /ELLSWORTH ST,100,1,Homicide - Criminal,-75.16488188,39.93638407
3,P,2006-12-18,21:46:00,1200 BLOCK S 3RD ST,100,1,Homicide - Criminal,-75.14969095,39.93222562
4,L,2006-01-03,05:51:00,400 BLOCK SIGEL ST,100,1,Homicide - Criminal,-75.15291352,39.92509018
4,H,2006-05-13,12:23:00,600 BLOCK PORTER ST,100,1,Homicide - Criminal,-75.15848117,39.91786055
4,J,2006-05-16,01:47:00,2900 BLOCK RANDOLPH ST,100,1,Homicide - Criminal,-75.15795777,39.91249369
4,F,2006-06-14,06:20:00,S 7TH ST /MERCY ST,100,1,Homicide - Justifiable ,-75.15809442,39.92335036
4,F,2006-07-17,02:25:00,600 BLOCK EMILY ST,100,1,Homicide - Criminal,-75.15791905,39.92363221
4,I,2006-07-18,08:15:00,2500 BLOCK S 11TH ST,100,1,Homicide - Criminal,-75.16571527,39.91765455
4,F,2006-08-01,10:20:00,S 10TH ST /SNYDER AV,100,1,Homicide - Gross Negligence,-75.16287848,39.92349819
4,H,2006-08-23,14:59:00,2400 BLOCK S 4TH ST,100,1,Homicide - Criminal ,-75.1544238,39.91795928
4,J,2006-09-03,21:50:00,600 BLOCK PATTISON AV,100,1,Homicide - Gross Negligence,-75.16039658,39.90366485
4,E,2006-09-15,08:00:00,2000 BLOCK S 5TH ST,100,1,Homicide - Criminal,-75.15503669,39.92286781
4,F,2006-10-26,02:26:00,700 BLOCK CANTRELL ST,100,1,Homicide - Criminal,-75.15949023,39.92264677
4,G,2006-11-05,02:57:00,2600 BLOCK S CHRIS COLUMBUS BLVD,100,1,Homicide - Gross Negligence,-75.13794751,39.91425739
5,J,2006-12-17,11:13:00,W BELLS MILL RD /RIDGE AV,100,1,Homicide - Gross Negligence,-75.24122476,40.070672
6,M,2006-05-17,17:57:00,DELAWARE EXP /SPRING GARDEN ST,100,1,Homicide - Gross Negligence,-75.13723804,39.96003168
6,C,2006-08-04,02:27:00,300 BLOCK S 11TH ST,100,1,Homicide - Criminal,-75.15977224,39.94526245
6,K,2006-09-08,17:23:00,1000 BLOCK RACE ST,100,1,Homicide - Gross Negligence,-75.15641986,39.95540907
6,S,2006-10-11,22:10:00,600 BLOCK FRANKLIN PL,100,1,Homicide - Criminal,-75.1505795,39.96289004
6,I,2006-11-07,08:35:00,N 10TH ST /FILBERT ST,100,1,Homicide - Gross Negligence,-75.15650499,39.95257436
6,N,2006-12-23,01:56:00,300 BLOCK N 8TH ST,100,1,Homicide - Criminal,-75.15212456,39.95803419
6,R,2006-12-24,02:25:00,800 BLOCK N 13TH ST,100,1,Homicide - Criminal,-75.15794251,39.96850614
7,I,2006-04-13,08:14:00,10000 BLOCK FERNDALE ST,100,1,Homicide - Criminal,-75.0326866,40.10617523
7,I,2006-04-13,07:20:00,10000 BLOCK FERNDALE ST,100,1,Homicide - Criminal,-75.0326866,40.10617523
7,H,2006-06-08,14:17:00,RED LION RD /VERREE RD,100,1,Homicide - Gross Negligence,-75.03299976,40.10511918
7,D,2006-07-12,12:21:00,2300 BLOCK TREMONT ST,100,1,Homicide - Criminal,-75.03773539,40.07370366
7,D,2006-07-12,14:39:00,2300 BLOCK TREMONT ST,100,1,Homicide - Criminal,-75.03773539,40.07370366
7,I,2006-07-13,18:46:00,10100 BLOCK VERREE RD,100,1,Homicide - Gross Negligence,-75.02948787,40.10675611
7,G,2006-09-26,08:23:00,LOTT AV /ROOSEVELT BLVD,100,1,Homicide - Gross Negligence,-75.02523152,40.08482926
7,I,2006-10-05,10:20:00,BUSTLETON AV /TOMLINSON RD,100,1,Homicide - Gross Negligence,-75.02304457,40.11300719
8,O,2006-04-08,19:19:00,2000 BLOCK RIVERSIDE DR,100,1,Homicide - Criminal,-74.98258507,40.09524063
8,O,2006-05-13,03:47:00,THORNTON RD /WOODHAVEN EXP,100,1,Homicide - Gross Negligence,-74.98686459,40.0991557
8,I,2006-07-17,04:37:00,11000 BLOCK KNIGHTS RD,100,1,Homicide - Gross Negligence,-74.97846396,40.07792052
8,K,2006-08-05,21:19:00,12300 BLOCK MEDFORD RD,100,1,Homicide - Gross Negligence,-74.97608917,40.09683213
8,A,2006-08-29,12:57:00,8100 BLOCK STATE RD,100,1,Homicide - Criminal ,-75.02076271,40.03176449
8,L,2006-09-02,03:57:00,RHAWN ST /ROOSEVELT BLVD,100,1,Homicide - Gross Negligence,-75.04700606,40.05682721
8,A,2006-10-04,08:56:00,8300 BLOCK STATE RD,100,1,Homicide - Criminal ,-75.01677945,40.03398247
8,L,2006-10-16,21:56:00,RHAWN ST /ROOSEVELT BLVD,100,1,Homicide - Gross Negligence,-75.04700606,40.05682721
9,J,2006-01-05,08:21:00,0 BLOCK FRANKLIN TOWN BLVD,100,1,Homicide - Criminal,-75.16775866,39.95983388
9,O,2006-03-23,20:02:00,800 BLOCK N 27TH ST,100,1,Homicide - Criminal,-75.18096849,39.97148855
9,D,2006-03-26,10:59:00,S 15TH ST /SANSOM ST,100,1,Homicide - Gross Negligence,-75.16577633,39.95032727
9,A,2006-04-27,11:35:00,300 BLOCK S HICKS ST,100,1,Homicide - Justifiable ,-75.16705641,39.94722371
9,U,2006-05-30,22:31:00,1400 BLOCK RACE ST,100,1,Homicide - Criminal,-75.16285442,39.95622062
9,L,2006-09-20,06:05:00,600 BLOCK N 17TH ST,100,1,Homicide - Criminal,-75.16575707,39.96509676
9,L,2006-10-20,00:07:00,N 18TH ST /WALLACE ST,100,1,Homicide - Criminal,-75.16722589,39.96596501
12,M,2006-01-21,23:51:00,1400 BLOCK S  52 STREET,100,1,Homicide - Criminal,-75.21837907,39.94016716
12,J,2006-02-05,15:13:00,6300 BLOCK KINGSESSING AVE,100,1,Homicide - Criminal,-75.23673914,39.92794844
12,K,2006-02-06,22:15:00,2000 BLOCK S ALDEN ST,100,1,Homicide - Criminal,-75.22579618,39.93473288
12,F,2006-02-07,03:25:00,2200 BLOCK WILLIAM PL,100,1,Homicide - Criminal,-75.24369464,39.91781094
12,L,2006-02-16,22:11:00,1400 BLOCK S  58TH STREET,100,1,Homicide - Criminal,-75.23407237,39.94074059
12,K,2006-02-23,18:20:00,5600 BLOCK WOODLAND AV,100,1,Homicide - Criminal,-75.22179403,39.93445489
12,P,2006-03-29,02:08:00,S 57TH ST /CHESTER AV,100,1,Homicide - Gross Negligence,-75.22716017,39.9367103
12,C,2006-04-12,04:00:00,8800 BLOCK HOG ISLAND RD,100,1,Homicide - Gross Negligence,-75.21180866,39.8855446
12,C,2006-04-14,18:12:00,2900 BLOCK ISLAND AV,100,1,Homicide - Gross Negligence,-75.23964188,39.90270118
12,C,2006-04-18,13:38:00,AIRPORT /DEL EXPRESSWAY,100,1,Homicide - Gross Negligence,-75.256513,39.87640933
12,E,2006-04-27,02:03:00,2500 BLOCK CARROLL ST,100,1,Homicide - Criminal ,-75.23365598,39.9177802
12,J,2006-04-28,23:38:00,6000 BLOCK UPLAND ST,100,1,Homicide - Criminal,-75.23061898,39.93095467
12,O,2006-05-06,16:12:00,5400 BLOCK ANGORA TER,100,1,Homicide - Criminal,-75.23322017,39.94674165
12,I,2006-05-12,21:56:00,S 61ST ST /W PASSYUNK AVE,100,1,Homicide - Criminal,-75.20870349,39.91830781
12,Q,2006-05-28,01:51:00,5500 BLOCK PENTRIDGE ST,100,1,Homicide - Criminal,-75.23026238,39.94196855
12,D,2006-06-05,00:19:00,2600 BLOCK S  75TH,100,1,Homicide - Criminal,-75.24394583,39.90997404
12,A,2006-06-05,23:24:00,S 71ST ST /WOODLAND AVE,100,1,Homicide - Criminal,-75.24298852,39.9194857
12,Q,2006-06-09,10:48:00,5500 BLOCK REGENT ST,100,1,Homicide - Criminal,-75.22505319,39.93749974
12,G,2006-06-19,20:56:00,2100 BLOCK GOULD ST,100,1,Homicide - Criminal ,-75.23592315,39.92574932
12,C,2006-06-26,10:47:00,7700 BLOCK LINDBERGH BLVD,100,1,Homicide - Gross Negligence,-75.24055236,39.9038682
12,I,2006-06-28,23:14:00,2600 BLOCK S DEWEY ST,100,1,Homicide - Criminal,-75.22300512,39.92378552
12,L,2006-07-01,05:48:00,S 60TH ST /BALTIMORE AV,100,1,Homicide - Criminal,-75.24444291,39.94434261
12,R,2006-07-03,06:25:00,CRANE AV /MARIO LANZA BLVD,100,1,Homicide - Criminal,-75.24485066,39.89235075
12,P,2006-07-06,08:52:00,1600 BLOCK S 58TH ST,100,1,Homicide - Criminal,-75.23130031,39.9380226
12,J,2006-07-08,06:10:00,6000 BLOCK REINHARD ST,100,1,Homicide - Criminal,-75.22989036,39.9321596
12,J,2006-07-10,23:22:00,2000 BLOCK S 60TH ST,100,1,Homicide - Criminal,-75.22954538,39.93202522
12,J,2006-07-15,10:58:00,1700 BLOCK S AVONDALE ST,100,1,Homicide - Criminal,-75.24006578,39.92962182
12,E,2006-07-15,17:21:00,7200 BLOCK ELMWOOD AVE,100,1,Homicide - Criminal,-75.24143179,39.91434492
12,Q,2006-07-21,23:17:00,S 54TH ST /KINGSESSING AVE,100,1,Homicide - Criminal,-75.22164,39.93861718
12,E,2006-08-06,20:44:00,S 71ST ST /BUIST AV,100,1,Homicide - Gross Negligence,-75.23760254,39.9149435
12,R,2006-08-20,11:24:00,S 81ST ST /SUFFOLK AVE,100,1,Homicide - Criminal,-75.24416732,39.89868431
12,I,2006-08-26,21:55:00,S 61ST ST /W PASSYUNK AV,100,1,Homicide - Gross Negligence,-75.20870349,39.91830781
12,C,2006-08-27,02:38:00,S 74TH ST /HOLSTEIN AV,100,1,Homicide - Gross Negligence,-75.22772042,39.90322544
12,J,2006-10-02,16:35:00,6000 BLOCK GREENWAY AVE,100,1,Homicide - Criminal,-75.22920594,39.93108541
12,Q,2006-10-02,21:12:00,1700 BLOCK S 55TH ST,100,1,Homicide - Criminal,-75.22126346,39.93611196
12,Q,2006-10-02,20:18:00,1700 BLOCK S 55TH ST,100,1,Homicide - Criminal,-75.22126346,39.93611196
12,J,2006-10-03,17:17:00,2000 BLOCK S 60TH ST,100,1,Homicide - Criminal,-75.23019734,39.93257697
12,K,2006-10-03,20:36:00,2000 BLOCK S 58TH ST,100,1,Homicide - Criminal ,-75.22725297,39.93460706
12,H,2006-10-03,23:55:00,6300 BLOCK SAYBROOK AVE,100,1,Homicide - Criminal,-75.23155586,39.92654397
12,K,2006-10-05,21:59:00,S 56TH ST /GREENWAY AVE,100,1,Homicide - Criminal,-75.22298977,39.93551001
12,L,2006-10-07,02:45:00,1000 BLOCK S FRAZIER ST,100,1,Homicide - Criminal,-75.23465557,39.94406295
12,O,2006-10-11,00:27:00,1100 BLOCK S 56TH ST,100,1,Homicide - Justifiable ,-75.23284625,39.94375917
12,E,2006-10-19,01:20:00,S 69TH ST /GUYER AVE,100,1,Homicide - Justifiable ,-75.23279318,39.91543309
12,I,2006-10-24,14:15:00,S 61ST ST /W PASSYUNK AV,100,1,Homicide - Gross Negligence,-75.20870349,39.91830781
12,G,2006-11-11,01:51:00,2100 BLOCK S DAGGETT ST,100,1,Homicide - Criminal,-75.23569264,39.92598314
12,L,2006-11-11,22:35:00,5600 BLOCK BROOMALL ST,100,1,Homicide - Criminal,-75.23433715,39.94279698
12,O,2006-11-12,18:52:00,S 53RD ST /THOMAS AV,100,1,Homicide - Gross Negligence,-75.22959776,39.94744791
12,I,2006-11-20,00:09:00,6200 BLOCK WOODLAND AVE,100,1,Homicide - Criminal,-75.23080057,39.92799848
12,E,2006-12-05,01:45:00,ELMWOOD AV /ISLAND RD,100,1,Homicide - Gross Negligence,-75.24322885,39.91312147
12,C,2006-12-16,10:16:00,8300 BLOCK ENTERPRISE AV,100,1,Homicide - Gross Negligence,-75.22611326,39.88240627
12,M,2006-12-24,01:56:00,S 51ST ST /WOODLAND AVE,100,1,Homicide - Criminal,-75.21509123,39.93910295
14,E,2006-01-04,11:28:00,5300 BLOCK BELFIELD AV,100,1,Homicide - Gross Negligence,-75.16417064,40.03679652
14,J,2006-01-16,07:42:00,100 BLOCK E WASHINGTON LA,100,1,Homicide - Criminal,-75.17950979,40.04452513
14,M,2006-01-22,10:33:00,100 BLOCK PLEASANT ST,100,1,Homicide - Criminal ,-75.18442931,40.05585924
14,N,2006-02-25,01:49:00,6300 BLOCK STENTON AV,100,1,Homicide - Criminal,-75.16562013,40.05959127
14,C,2006-03-26,21:33:00,1500 BLOCK E WASHINGTON LN,100,1,Homicide - Criminal,-75.16372576,40.06141336
14,J,2006-04-21,02:47:00,6100 BLOCK BAYNTON ST,100,1,Homicide - Criminal,-75.17687706,40.04198584
14,L,2006-06-19,17:20:00,6400 BLOCK CHEROKEE ST,100,1,Homicide - Criminal,-75.18608752,40.04471491
14,P,2006-07-06,01:50:00,8200 BLOCK STENTON AVE,100,1,Homicide - Criminal,-75.17929857,40.06753927
14,C,2006-07-17,02:20:00,900 BLOCK VERNON RD,100,1,Homicide - Gross Negligence,-75.17535635,40.06526907
